booking_id,customer_id,vehicle_id,hub_id,booking_date,start_date,end_date,package,rental_plan,charger_opted,amount,status,renewed,tenure_days,is_repeat,days_since_last_booking,booking_hour,booking_day_of_week,booking_month,is_weekend,first_name,last_name,phone,email,signup_date,kyc_status,city,referral_agent_id,model,status_vehicle,hub_id_vehicle,battery_id,charger_type,registration_date,hub_name,city_hub,capacity,latitude,longitude
419,1,150,4,2025-09-16 09:18:09,2025-09-18,2026-03-17,6 Months,Weekly,False,8728,completed,False,180,1,,9,1,9,0,Dhruv,Jain,9901594841,dhruv.jain0@gmail.com,2026-03-13 05:37:30,pending,Delhi,,Hero Vida,deployed,4,BAT-MH1209,Hub Charger,2025-08-30,Dwarka Hub,Delhi,22,28.5921,77.046
429,1,31,7,2025-09-17 21:37:44,2025-09-18,2025-10-18,1 Month,Monthly,False,3459,active,False,30,1,1.0,21,2,9,0,Dhruv,Jain,9901594841,dhruv.jain0@gmail.com,2026-03-13 05:37:30,pending,Delhi,,Ather 450X,maintenance,7,BAT-FX8002,Portable,2025-04-13,Gachibowli Hub,Hyderabad,15,17.4401,78.3489
510,1,57,1,2025-10-03 07:00:37,2025-10-04,2026-01-02,3 Months,Daily,True,6446,completed,True,90,1,15.0,7,4,10,0,Dhruv,Jain,9901594841,dhruv.jain0@gmail.com,2026-03-13 05:37:30,pending,Delhi,,Ather 450X,deployed,1,BAT-DQ3732,Hub Charger,2025-03-18,Koramangala Hub,Bangalore,30,12.9352,77.6245
1777,1,134,1,2026-05-21 11:36:43,2026-05-22,2027-05-22,12 Months,Weekly,False,14088,completed,False,365,1,230.0,11,3,5,0,Dhruv,Jain,9901594841,dhruv.jain0@gmail.com,2026-03-13 05:37:30,pending,Delhi,,TVS iQube,idle,1,BAT-EH7839,Hub Charger,2025-03-04,Koramangala Hub,Bangalore,30,12.9352,77.6245
76,2,72,5,2025-07-15 03:20:50,2025-07-18,2026-01-14,6 Months,Monthly,True,11811,active,False,180,1,,3,1,7,0,Reyansh,Gupta,9938006291,reyanshgupta1@yahoo.com,2025-09-26 10:19:34,verified,Mumbai,8.0,Ola S1 Pro,deployed,5,BAT-DX8736,Hub Charger,2025-08-09,Andheri Hub,Mumbai,18,19.1136,72.8697
195,2,133,4,2025-08-09 08:17:38,2025-08-11,2025-09-10,1 Month,Monthly,False,2613,completed,False,30,1,25.0,8,5,8,1,Reyansh,Gupta,9938006291,reyanshgupta1@yahoo.com,2025-09-26 10:19:34,verified,Mumbai,8.0,Ather 450X,idle,4,BAT-PL1656,CCS2 DC,2025-07-14,Dwarka Hub,Delhi,22,28.5921,77.046
395,2,57,1,2025-09-12 02:46:37,2025-09-14,2025-10-14,1 Month,Monthly,False,4297,completed,False,30,1,33.0,2,4,9,0,Reyansh,Gupta,9938006291,reyanshgupta1@yahoo.com,2025-09-26 10:19:34,verified,Mumbai,8.0,Ather 450X,deployed,1,BAT-DQ3732,Hub Charger,2025-03-18,Koramangala Hub,Bangalore,30,12.9352,77.6245
632,2,13,6,2025-10-27 02:05:07,2025-10-29,2026-01-27,3 Months,Monthly,True,7911,completed,False,90,1,44.0,2,0,10,0,Reyansh,Gupta,9938006291,reyanshgupta1@yahoo.com,2025-09-26 10:19:34,verified,Mumbai,8.0,Ather 450X,deployed,6,BAT-FI5893,Portable,2025-05-04,HITEC City Hub,Hyderabad,20,17.4435,78.3772
1303,2,112,1,2026-02-25 14:24:24,2026-02-27,2026-05-28,3 Months,Weekly,False,5574,completed,False,90,1,121.0,14,2,2,0,Reyansh,Gupta,9938006291,reyanshgupta1@yahoo.com,2025-09-26 10:19:34,verified,Mumbai,8.0,Hero Vida,deployed,1,BAT-HI7616,Hub Charger,2025-06-24,Koramangala Hub,Bangalore,30,12.9352,77.6245
1533,2,127,5,2026-04-06 09:58:44,2026-04-08,2026-10-05,6 Months,Monthly,False,8269,completed,False,180,1,39.0,9,0,4,0,Reyansh,Gupta,9938006291,reyanshgupta1@yahoo.com,2025-09-26 10:19:34,verified,Mumbai,8.0,Hero Vida,deployed,5,BAT-EQ2461,Portable,2025-03-07,Andheri Hub,Mumbai,18,19.1136,72.8697
308,3,73,2,2025-08-29 19:39:54,2025-08-30,2025-09-29,1 Month,Weekly,False,3050,active,False,30,1,,19,4,8,0,Isha,Joshi,9821795596,isha_joshi2@outlook.com,2025-11-02 10:10:40,verified,Pune,,Ather 450X,deployed,2,BAT-QD1556,Portable,2026-04-22,Whitefield Hub,Bangalore,25,12.9698,77.75
327,3,104,5,2025-09-01 21:45:48,2025-09-02,2025-10-02,1 Month,Weekly,False,2941,completed,False,30,1,3.0,21,0,9,0,Isha,Joshi,9821795596,isha_joshi2@outlook.com,2025-11-02 10:10:40,verified,Pune,,Bounce Infinity,deployed,5,BAT-XR4133,Type 2 AC,2025-10-15,Andheri Hub,Mumbai,18,19.1136,72.8697
1190,3,74,1,2026-02-02 23:23:23,2026-02-03,2026-03-05,1 Month,Monthly,False,4163,active,False,30,1,154.0,23,0,2,0,Isha,Joshi,9821795596,isha_joshi2@outlook.com,2025-11-02 10:10:40,verified,Pune,,Ather 450X,deployed,1,BAT-LS9243,CCS2 DC,2026-04-25,Koramangala Hub,Bangalore,30,12.9352,77.6245
1460,3,54,6,2026-03-24 10:28:06,2026-03-27,2026-04-26,1 Month,Monthly,False,2344,completed,False,30,1,49.0,10,1,3,0,Isha,Joshi,9821795596,isha_joshi2@outlook.com,2025-11-02 10:10:40,verified,Pune,,Bounce Infinity,deployed,6,BAT-CV2578,Hub Charger,2025-08-13,HITEC City Hub,Hyderabad,20,17.4435,78.3772
13,4,112,1,2025-07-03 14:53:26,2025-07-04,2025-12-31,6 Months,Weekly,False,10503,completed,False,180,1,,14,3,7,0,Nisha,Nair,9653853232,nnair3@hotmail.com,2025-10-22 11:03:25,verified,Delhi,9.0,Hero Vida,deployed,1,BAT-HI7616,Hub Charger,2025-06-24,Koramangala Hub,Bangalore,30,12.9352,77.6245
137,4,24,2,2025-07-28 17:11:52,2025-07-31,2025-08-30,1 Month,Weekly,False,3716,completed,False,30,1,25.0,17,0,7,0,Nisha,Nair,9653853232,nnair3@hotmail.com,2025-10-22 11:03:25,verified,Delhi,9.0,Ather 450X,deployed,2,BAT-ND1625,Type 2 AC,2026-01-08,Whitefield Hub,Bangalore,25,12.9698,77.75
1643,4,81,1,2026-04-27 15:14:47,2026-04-28,2026-05-28,1 Month,Daily,False,4020,active,False,30,1,272.0,15,0,4,0,Nisha,Nair,9653853232,nnair3@hotmail.com,2025-10-22 11:03:25,verified,Delhi,9.0,Ola S1 Pro,deployed,1,BAT-EA5284,Type 2 AC,2026-03-17,Koramangala Hub,Bangalore,30,12.9352,77.6245
143,5,33,1,2025-07-29 06:31:56,2025-08-01,2025-10-30,3 Months,Monthly,True,7239,overdue,False,90,1,,6,1,7,0,Aditya,Shah,8141525980,aditya4@protonmail.com,2025-09-09 13:38:11,verified,Mumbai,,Ather 450X,idle,1,BAT-DJ1559,CCS2 DC,2025-01-13,Koramangala Hub,Bangalore,30,12.9352,77.6245
405,5,110,6,2025-09-13 12:40:01,2025-09-15,2026-03-14,6 Months,Weekly,True,11895,completed,False,180,1,46.0,12,5,9,1,Aditya,Shah,8141525980,aditya4@protonmail.com,2025-09-09 13:38:11,verified,Mumbai,,Ather 450X,deployed,6,BAT-UO6013,Hub Charger,2025-05-23,HITEC City Hub,Hyderabad,20,17.4435,78.3772
1125,5,65,3,2026-01-21 15:28:00,2026-01-22,2027-01-22,12 Months,Monthly,False,12468,cancelled,False,365,1,130.0,15,2,1,0,Aditya,Shah,8141525980,aditya4@protonmail.com,2025-09-09 13:38:11,verified,Mumbai,,Ola S1 Pro,deployed,3,BAT-SH9021,Portable,2025-09-24,Connaught Place Hub,Delhi,20,28.6315,77.2167
1342,5,86,7,2026-03-03 04:01:55,2026-03-06,2026-06-04,3 Months,Monthly,False,6746,completed,True,90,1,40.0,4,1,3,0,Aditya,Shah,8141525980,aditya4@protonmail.com,2025-09-09 13:38:11,verified,Mumbai,,Bounce Infinity,deployed,7,BAT-CK3588,Portable,2026-02-15,Gachibowli Hub,Hyderabad,15,17.4401,78.3489
513,6,35,4,2025-10-04 00:36:14,2025-10-05,2026-04-03,6 Months,Daily,True,12536,completed,False,180,1,,0,5,10,1,Tanvi,Pandey,7583130298,tanvi.pandey5@gmail.com,2025-12-03 10:09:05,verified,Bangalore,15.0,Hero Vida,maintenance,4,BAT-MO1037,Portable,2025-11-07,Dwarka Hub,Delhi,22,28.5921,77.046
787,6,17,4,2025-11-22 23:13:06,2025-11-25,2026-02-23,3 Months,Weekly,False,6879,completed,False,90,1,49.0,23,5,11,1,Tanvi,Pandey,7583130298,tanvi.pandey5@gmail.com,2025-12-03 10:09:05,verified,Bangalore,15.0,Ather 450X,deployed,4,BAT-DY8952,Type 2 AC,2026-04-30,Dwarka Hub,Delhi,22,28.5921,77.046
979,6,108,1,2025-12-28 02:51:33,2025-12-29,2026-12-29,12 Months,Daily,False,12815,active,False,365,1,35.0,2,6,12,1,Tanvi,Pandey,7583130298,tanvi.pandey5@gmail.com,2025-12-03 10:09:05,verified,Bangalore,15.0,Bounce Infinity,deployed,1,BAT-CR5503,Type 2 AC,2026-02-17,Koramangala Hub,Bangalore,30,12.9352,77.6245
1609,6,136,8,2026-04-21 10:25:38,2026-04-24,2026-07-23,3 Months,Monthly,False,7394,active,False,90,1,114.0,10,1,4,0,Tanvi,Pandey,7583130298,tanvi.pandey5@gmail.com,2025-12-03 10:09:05,verified,Bangalore,15.0,Ola S1 Pro,idle,8,BAT-YX4563,CCS2 DC,2025-03-26,Hinjawadi Hub,Pune,18,18.5912,73.739
