customer_id,first_name,last_name,phone,email,signup_date,kyc_status,city,referral_agent_id
1,Dhruv,Jain,9901594841,dhruv.jain0@gmail.com,2026-03-13 05:37:30,pending,Delhi,
2,Reyansh,Gupta,9938006291,reyanshgupta1@yahoo.com,2025-09-26 10:19:34,verified,Mumbai,8
3,Isha,Joshi,9821795596,isha_joshi2@outlook.com,2025-11-02 10:10:40,verified,Pune,
4,Nisha,Nair,9653853232,nnair3@hotmail.com,2025-10-22 11:03:25,verified,Delhi,9
5,Aditya,Shah,8141525980,aditya4@protonmail.com,2025-09-09 13:38:11,verified,Mumbai,
6,Tanvi,Pandey,7583130298,tanvi.pandey5@gmail.com,2025-12-03 10:09:05,verified,Bangalore,15
7,Vikram,Malhotra,7945247531,vikrammalhotra6@yahoo.com,2026-02-16 23:06:49,verified,Mumbai,3
8,Neha,Joshi,6800360832,neha_joshi7@outlook.com,2025-09-28 04:18:12,verified,Delhi,3
9,Shreya,Sharma,9093895509,ssharma8@hotmail.com,2025-09-26 18:29:14,verified,Pune,
10,Aditya,Mishra,8151234838,aditya9@protonmail.com,2026-02-16 10:07:05,pending,Hyderabad,
11,Neha,Kulkarni,6927088913,neha.kulkarni10@gmail.com,2026-05-02 10:22:24,verified,Delhi,10
12,Tanvi,Menon,6760463084,tanvimenon11@yahoo.com,2025-09-06 06:49:25,verified,Bangalore,1
13,Suman,Jain,7171290169,suman_jain12@outlook.com,2025-08-16 23:11:33,verified,Hyderabad,
14,Sai,Chauhan,8152372950,schauhan13@hotmail.com,2026-03-18 01:14:52,verified,Hyderabad,7
15,Swati,Agarwal,8677290858,swati14@protonmail.com,2025-09-01 11:21:02,pending,Bangalore,14
16,Deepak,Menon,8600548174,deepak.menon15@gmail.com,2026-01-06 23:18:06,verified,Bangalore,
17,Ashok,Pillai,7195973141,ashokpillai16@yahoo.com,2025-11-12 07:57:23,verified,Hyderabad,3
18,Manoj,Reddy,7159835657,manoj_reddy17@outlook.com,2026-01-09 15:19:08,pending,Bangalore,
19,Riya,Agarwal,7306251805,ragarwal18@hotmail.com,2025-11-01 17:05:27,verified,Pune,4
20,Ashok,Singh,7544094162,ashok19@protonmail.com,2025-10-28 01:47:31,verified,Delhi,9
21,Aarav,Bhat,7322340379,aarav.bhat20@gmail.com,2026-05-28 04:25:27,pending,Bangalore,5
22,Ananya,Hegde,9684937866,ananyahegde21@yahoo.com,2025-10-22 18:06:06,verified,Hyderabad,
23,Priya,Gupta,9439099600,priya_gupta22@outlook.com,2025-07-21 21:31:08,verified,Delhi,15
24,Pranav,Deshmukh,8485226585,pdeshmukh23@hotmail.com,2025-08-09 16:12:55,rejected,Delhi,
25,Megha,Kapoor,6496062858,megha24@protonmail.com,2025-09-12 13:37:08,verified,Bangalore,13
26,Kartik,Patel,8463606741,kartik.patel25@gmail.com,2025-10-07 13:11:56,verified,Bangalore,
27,Amit,Verma,6451550092,amitverma26@yahoo.com,2025-11-11 15:58:38,verified,Mumbai,8
28,Kavya,Saxena,7992318966,kavya_saxena27@outlook.com,2025-11-12 11:23:47,rejected,Delhi,5
29,Sunita,Bansal,6525778002,sbansal28@hotmail.com,2025-12-22 02:43:23,verified,Mumbai,
30,Sunil,Bhat,8297901125,sunil29@protonmail.com,2026-05-08 00:51:56,verified,Hyderabad,9
31,Sai,Shah,8010467906,sai.shah30@gmail.com,2025-09-02 22:53:53,verified,Mumbai,15
32,Isha,Menon,6490269064,ishamenon31@yahoo.com,2026-02-04 06:09:30,verified,Bangalore,
33,Shreya,Gupta,9000824985,shreya_gupta32@outlook.com,2025-07-26 23:31:42,verified,Delhi,4
34,Ritu,Tiwari,7877085822,rtiwari33@hotmail.com,2026-02-19 06:36:34,verified,Pune,
35,Sneha,Saxena,7586221824,sneha34@protonmail.com,2026-05-17 13:17:38,verified,Hyderabad,2
36,Vivaan,Sharma,8871217558,vivaan.sharma35@gmail.com,2025-11-27 13:05:39,verified,Mumbai,
37,Aarav,Pandey,9733801153,aaravpandey36@yahoo.com,2025-12-30 00:51:47,verified,Bangalore,8
38,Ritu,Sharma,6922257633,ritu_sharma37@outlook.com,2026-03-18 13:26:49,verified,Delhi,7
39,Diya,Bhat,7910817837,dbhat38@hotmail.com,2025-09-28 10:21:30,verified,Mumbai,
40,Arjun,Deshmukh,9899469302,arjun39@protonmail.com,2026-03-20 10:31:54,verified,Hyderabad,
41,Gaurav,Malhotra,7426859062,gaurav.malhotra40@gmail.com,2025-10-05 17:39:16,pending,Mumbai,14
42,Suman,Rao,9493944599,sumanrao41@yahoo.com,2026-05-19 10:29:39,verified,Hyderabad,14
43,Dhruv,Mishra,9577871909,dhruv_mishra42@outlook.com,2025-10-03 22:58:18,verified,Hyderabad,
44,Swati,Mehta,8112961058,smehta43@hotmail.com,2026-04-22 18:22:53,verified,Bangalore,14
45,Sunil,Kapoor,7252049365,sunil44@protonmail.com,2025-10-18 09:22:17,pending,Delhi,
46,Neha,Pandey,6964366573,neha.pandey45@gmail.com,2026-05-24 10:18:15,pending,Bangalore,
47,Ritu,Shah,8943070455,ritushah46@yahoo.com,2026-03-19 19:31:49,verified,Bangalore,11
48,Isha,Shah,8424715877,isha_shah47@outlook.com,2025-08-09 04:41:41,verified,Hyderabad,3
49,Aditya,Malhotra,6767511705,amalhotra48@hotmail.com,2025-10-28 23:54:47,rejected,Delhi,
50,Tanvi,Menon,8539220234,tanvi49@protonmail.com,2025-09-24 14:15:50,verified,Delhi,3
51,Manav,Sharma,9254255710,manav.sharma50@gmail.com,2025-08-23 02:32:14,verified,Bangalore,14
52,Deepak,Patel,9369224492,deepakpatel51@yahoo.com,2026-05-29 01:05:29,verified,Delhi,
53,Manav,Joshi,7832198326,manav_joshi52@outlook.com,2025-10-06 23:18:05,verified,Bangalore,13
54,Ananya,Reddy,7716442413,areddy53@hotmail.com,2026-04-04 03:32:58,rejected,Bangalore,
55,Sneha,Sharma,6509358165,sneha54@protonmail.com,2026-03-02 06:30:35,pending,Mumbai,2
56,Arnav,Mishra,7176446888,arnav.mishra55@gmail.com,2026-04-05 11:56:09,verified,Bangalore,13
57,Vikram,Chauhan,9595206307,vikramchauhan56@yahoo.com,2025-07-15 12:46:04,verified,Mumbai,13
58,Nitin,Tiwari,6551013106,nitin_tiwari57@outlook.com,2026-05-10 08:35:51,rejected,Bangalore,3
59,Ashok,Singh,6753527914,asingh58@hotmail.com,2026-04-19 17:28:29,pending,Bangalore,11
60,Tanvi,Jain,7051359775,tanvi59@protonmail.com,2026-06-16 04:32:17,verified,Bangalore,6
61,Sunil,Malhotra,9377903366,sunil.malhotra60@gmail.com,2025-10-12 08:37:44,rejected,Mumbai,
62,Ritu,Gupta,6746782234,ritugupta61@yahoo.com,2026-04-26 00:48:32,rejected,Mumbai,8
63,Pranav,Gupta,9906874364,pranav_gupta62@outlook.com,2025-11-01 12:56:14,pending,Delhi,1
64,Sunil,Singh,9600921169,ssingh63@hotmail.com,2026-03-03 09:22:03,verified,Delhi,7
65,Pranav,Reddy,9131579343,pranav64@protonmail.com,2026-06-15 05:37:46,verified,Mumbai,2
66,Nisha,Mishra,7248777767,nisha.mishra65@gmail.com,2025-10-29 20:02:19,pending,Bangalore,10
67,Riya,Tiwari,8779603349,riyatiwari66@yahoo.com,2025-08-02 07:40:27,verified,Delhi,12
68,Shweta,Gupta,8531577651,shweta_gupta67@outlook.com,2025-11-08 21:30:11,pending,Hyderabad,6
69,Riya,Mishra,6645977260,rmishra68@hotmail.com,2026-02-19 01:01:35,verified,Mumbai,12
70,Vivaan,Gupta,9069869471,vivaan69@protonmail.com,2025-09-05 12:40:35,verified,Delhi,2
71,Sunil,Verma,7858127096,sunil.verma70@gmail.com,2025-08-20 19:27:00,verified,Pune,
72,Isha,Verma,9608739418,ishaverma71@yahoo.com,2025-08-01 00:55:19,verified,Hyderabad,10
73,Swati,Hegde,9526821663,swati_hegde72@outlook.com,2026-01-21 11:45:11,rejected,Bangalore,13
74,Vikram,Malhotra,7870045289,vmalhotra73@hotmail.com,2025-11-23 15:17:18,pending,Mumbai,
75,Deepak,Mishra,8536785574,deepak74@protonmail.com,2026-01-20 21:19:37,pending,Mumbai,15
76,Vihaan,Pillai,9225155767,vihaan.pillai75@gmail.com,2026-04-06 10:54:40,verified,Delhi,
77,Deepak,Joshi,9852920438,deepakjoshi76@yahoo.com,2026-04-24 01:28:59,verified,Delhi,12
78,Sara,Pillai,8849365391,sara_pillai77@outlook.com,2026-06-26 07:02:54,verified,Delhi,2
79,Rohan,Sharma,7033053000,rsharma78@hotmail.com,2026-03-14 03:14:01,verified,Mumbai,7
80,Ritu,Hegde,6797167796,ritu79@protonmail.com,2026-05-16 05:11:36,verified,Delhi,3
81,Tanvi,Menon,8408615106,tanvi.menon80@gmail.com,2025-10-21 03:07:33,verified,Hyderabad,
82,Arnav,Menon,6114460723,arnavmenon81@yahoo.com,2026-06-14 09:32:34,verified,Mumbai,7
83,Sai,Nair,6839463083,sai_nair82@outlook.com,2025-10-11 20:42:04,verified,Bangalore,
84,Aditya,Bansal,8850218088,abansal83@hotmail.com,2025-11-11 10:41:17,rejected,Mumbai,8
85,Kiara,Sharma,9770792600,kiara84@protonmail.com,2026-02-18 14:52:23,pending,Bangalore,14
86,Deepak,Malhotra,6944767551,deepak.malhotra85@gmail.com,2026-02-09 19:14:48,verified,Mumbai,7
87,Ritu,Iyer,6542578022,rituiyer86@yahoo.com,2025-12-31 14:31:49,verified,Mumbai,11
88,Diya,Patel,7704217260,diya_patel87@outlook.com,2026-02-06 12:35:22,pending,Bangalore,6
